place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
경복궁,24,43,59,237,237,222,285,238,237,115,8744
해동 용궁사,1,1,22,240,84,7,176,4,75,0,6667
불국사,3,3,20,188,210,9,244,5,73,3,5750
경주 불국사 ,3,2,20,188,210,12,244,3,73,3,5744
경주 첨성대,3,5,20,237,187,76,285,44,237,0,5517
경주 동궁과 월지,2,4,20,238,116,55,267,33,201,3,5402
한국민속촌,22,3,23,240,18,58,285,8,203,2,5261
북촌한옥마을,16,43,60,237,237,226,285,237,237,95,4488
덕수궁,28,36,60,237,236,224,285,236,237,158,4478
창경궁,20,34,60,237,237,224,285,237,237,145,4331
낙산사,0,1,10,83,173,4,126,1,25,8,4280
태종대,3,2,0,207,6,17,205,3,44,3,3791
통도사,2,2,20,26,14,6,57,0,18,5,3777
오죽헌,0,3,23,240,28,81,285,4,130,0,3165
전주전동성당,6,6,20,238,236,163,285,44,237,13,3092
여수 향일암,0,3,6,21,17,0,15,2,7,1,2785
봉은사,15,8,58,237,93,220,285,211,237,63,2640
광화문,42,48,60,240,237,222,285,237,237,218,2505
안동 하회마을 ,1,3,8,19,30,0,24,0,5,6,2503
보리암,0,1,4,2,2,0,3,0,1,1,2451
만어사,0,0,36,2,2,0,2,0,0,0,2391
광한루원,2,2,0,240,47,35,285,5,141,14,2364
부석사,0,2,28,12,12,0,10,2,4,2,2290
수원 화성,62,7,20,237,237,220,285,64,237,68,2157
삼성궁,0,0,5,3,12,0,16,1,1,1,2079
판문점,32,41,52,237,236,221,285,236,237,161,2078
순천 낙안읍성,0,2,52,14,50,1,32,0,5,8,2078
공주 공산성 ,8,4,0,238,66,99,285,33,196,22,2065
진주성,13,5,20,240,180,205,285,57,237,6,1978
해인사,0,1,0,19,24,0,31,0,4,8,1944
전등사,1,1,20,101,12,6,88,3,30,3,1913
월정사,0,1,0,3,6,0,16,0,3,0,1898
마곡사,0,2,20,12,25,1,33,0,4,3,1852
화엄사,0,2,4,2,8,3,17,0,5,2,1800
국립서울현충원,21,1,28,240,18,226,285,56,237,58,1788
선암사,0,4,14,10,16,0,14,0,4,4,1770
선암사,0,4,14,10,16,0,14,0,4,4,1760
아산 공세리성당,0,0,11,40,2,2,31,0,4,0,1750
서울 명동성당,28,36,2,237,237,221,285,237,237,178,1734
소쇄원,0,2,20,14,6,0,31,2,14,3,1720
휴휴암,1,2,0,17,66,8,29,0,21,2,1707
군산 신흥동 일본식가옥,9,5,20,240,73,73,285,34,201,3,1702
개심사,0,1,13,2,5,0,12,0,0,1,1696
보문사,0,1,19,14,21,0,31,0,5,1,1677
수덕사,0,1,20,21,5,0,49,1,7,3,1652
조계사,27,43,60,237,236,225,285,237,237,152,1629
현충사,0,0,20,46,1,1,31,1,5,5,1626
직지사,0,2,14,22,11,0,41,3,12,1,1532
여주신륵사,2,3,20,228,23,7,133,3,39,9,1531
경주 문무대왕릉,1,0,14,12,14,0,57,0,3,1,1523
강릉 경포대,1,5,11,80,233,8,143,8,55,0,1513
용문사,0,9,0,42,75,3,63,0,30,21,1502
브라운핸즈백제,3,7,23,222,179,181,285,177,222,3,1478
종묘 ,23,43,60,237,236,226,285,237,237,169,1463
범어사,2,1,24,64,0,3,63,3,24,1,1461
항파두리 항몽 유적,0,0,2,0,0,0,0,0,0,0,1450
동학사,1,3,12,74,98,2,154,1,60,5,1318
제주민속촌,1,3,0,92,50,24,173,5,42,5,1310
법주사,0,1,0,43,53,3,74,0,11,3,1293
보은 법주사,0,1,0,46,57,3,78,0,12,3,1293
청령포,5,1,20,90,11,6,74,5,18,5,1274
고창읍성,4,1,10,240,18,26,267,16,53,7,1259
최참판댁,1,0,3,33,5,1,15,0,7,3,1238
운현궁,21,43,60,237,237,228,285,237,237,150,1205
청와대사랑채,24,36,0,237,237,228,285,192,237,89,1190
쌍계사,0,6,28,36,90,2,68,6,46,6,1127
하동 쌍계사,0,3,0,19,50,1,34,3,25,3,1127
숭례문,21,20,60,237,236,217,285,239,237,103,1126
진천 농다리,0,1,20,5,1,0,6,0,1,2,1122
서울 경교장,30,36,20,238,236,133,285,239,237,0,1116
제주 약천사,2,3,0,85,51,1,76,0,18,3,1116
오대산월정사전나무숲길,0,1,14,3,14,0,18,0,3,0,1110
불갑사(불교),0,0,14,0,0,0,0,0,0,0,1108
오목대와 이목대,10,6,2,238,237,175,285,44,237,14,1104
무섬마을,0,1,1,1,18,0,0,0,2,1,1081
삼광사,7,0,24,240,33,90,285,86,199,5,1078
도산서원 ,2,0,20,3,2,0,1,1,0,3,1054
청주 상당산성,1,0,8,8,1,0,42,5,8,3,1054
수종사,1,2,3,44,3,0,19,1,6,10,1047
송광사,0,1,11,3,12,0,12,1,3,3,1042
영남루,3,1,20,240,23,88,243,9,144,29,1017
병산서원 ,1,0,12,0,3,0,1,0,0,2,1015
행주산성,6,1,14,240,3,17,214,10,79,6,996
경주 양동마을 ,0,0,4,12,14,0,9,0,5,2,988
청평사,0,2,1,1,2,0,7,1,2,2,976
마이산 탑사,0,0,13,14,9,0,29,0,5,8,975
서산 유기방가옥,0,0,20,0,0,0,0,0,0,0,963
강릉 선교장,1,5,20,170,50,5,118,4,53,0,951
갑사,0,1,0,9,12,1,19,0,3,0,949
청풍문화재단지,1,1,2,17,20,3,38,3,5,3,948
전주향교,6,6,0,238,237,160,285,41,237,14,924
서울 선릉과 정릉,30,5,0,237,174,225,285,234,237,78,923
김유정 문학촌,0,1,2,33,3,1,36,0,9,3,920
성읍민속마을,1,3,18,46,23,0,80,3,14,2,918
단양 구인시,0,1,12,10,10,0,13,0,2,0,895
봉선사,6,3,20,129,3,11,95,5,25,4,859
소수서원,0,2,20,26,10,0,23,0,2,8,827
태안 안면암,0,0,20,0,8,0,0,0,1,0,817
대구동화사,0,0,6,16,11,0,24,0,11,2,805
정약용유적지,2,1,20,21,2,2,24,0,10,6,799
구례 사성암,0,2,20,12,2,0,6,0,3,3,797
여주 영릉,3,0,0,65,3,0,20,1,8,4,791
김제금산사,0,2,0,12,10,1,37,0,16,0,769
경주 교촌마을,1,5,4,237,185,55,285,37,234,3,767
제주 삼성혈,6,0,20,240,188,213,285,0,253,3,760
경희궁,5,0,60,240,12,67,285,26,193,0,750
남평문씨본리세거지,7,1,0,225,2,8,250,5,70,6,747
국립대전현충원,12,0,6,240,1,4,116,8,69,2,734
녹동서원,0,0,36,8,4,0,29,0,4,1,733
공주 석장리 유적,0,1,0,12,1,1,10,0,3,1,717
대흥사,0,2,1,3,6,1,4,0,0,2,714
양평 구둔역,0,1,6,2,3,0,0,0,0,2,711
노동당사,0,0,4,6,0,0,1,0,2,0,708
국채보상운동기념공원,6,9,0,237,139,223,285,237,237,92,692
촉석루,10,5,20,240,176,211,285,57,237,4,692
해저터널,6,8,20,237,111,81,285,26,169,5,689
풍남문,5,6,20,238,237,161,285,44,237,13,677
담양후산리명옥헌원림,0,0,0,28,1,0,19,0,6,0,677
월화원,29,1,21,240,121,214,285,42,237,21,666
김해 수로왕릉,38,0,22,225,88,186,285,0,222,7,666
영월 장릉,1,3,2,140,8,7,100,3,14,5,661
융건릉,8,2,20,240,5,18,285,5,80,0,660
영평사,3,1,0,34,1,0,8,0,1,0,651
여수 진남관,7,8,10,237,188,164,285,34,224,10,649
각원사,1,1,20,106,5,12,98,0,53,3,644
창덕궁 후원,27,45,40,237,237,222,285,237,237,136,640
보탑사,0,1,0,1,8,0,2,0,0,0,632
동구릉 ,25,0,58,240,5,23,285,15,169,18,630
흥인지문,26,13,2,225,222,206,285,222,222,121,627
상원사,0,1,3,1,0,0,0,0,2,1,624
남사예담촌,0,0,4,8,8,0,9,0,4,1,615
노무현 대통령 생가,3,3,20,42,0,0,24,3,3,1,606
백담사,0,1,0,0,1,0,0,0,0,2,606
광성보,0,0,20,14,10,0,11,0,5,3,599
논산 관촉사,4,1,0,240,5,36,285,1,77,3,596
내장사,0,2,0,9,3,1,0,0,0,3,591
오어사,0,1,5,1,3,0,13,2,1,1,591
서울 암사동 유적,20,2,0,224,16,89,285,21,222,29,590
풍수원성당,0,1,16,2,1,0,4,0,0,0,589
구룡포 근대문화역사관,0,2,16,197,47,14,199,2,43,4,587
익산 미륵사지,1,0,20,12,3,0,29,1,9,5,581
솔뫼성지,4,0,2,232,10,17,119,1,19,2,572
서오릉 ,4,0,32,240,1,30,119,1,49,3,565
석남사,0,0,13,10,14,0,38,0,3,2,565
화성 용주사,3,2,0,240,0,7,125,3,34,0,564
봉정사,0,1,7,3,3,0,3,0,3,1,560
정북동 토성,1,0,2,88,1,0,2,0,2,3,555
다산초당,1,0,6,3,6,0,3,0,2,2,550
분황사,4,3,3,240,82,91,285,17,169,1,546
신흥사,2,6,2,6,6,0,40,2,10,2,545
신흥사,1,3,4,3,3,0,20,1,5,1,545
진관사,3,1,0,86,5,2,60,0,39,8,539
김제 벽골제,0,1,20,10,1,1,3,1,1,0,536
청도읍성,1,1,0,49,4,3,24,1,9,1,536
경기전,10,6,5,238,236,180,285,41,237,17,535
몽촌토성,38,0,53,240,146,228,285,0,237,124,522
구룡사,0,1,6,6,10,0,13,3,0,8,519
죽서루,7,2,20,240,34,77,285,7,100,0,515
대한성공회 강화성당,0,0,20,0,0,0,0,0,0,0,506
미황사,0,1,15,0,1,0,1,0,0,0,500
청간정,0,0,20,53,123,7,62,1,18,11,493
만휴정,0,0,11,1,2,0,0,0,1,0,489
덕수궁 대한문,27,36,60,238,237,222,285,236,237,159,488
권금성,1,2,4,10,3,0,16,1,5,1,487
수원화성박물관,28,10,21,237,162,217,285,68,237,29,481
강화고려궁지,7,3,0,240,16,34,285,11,82,0,469
운림산방,1,0,5,8,5,0,6,0,1,3,467
서산 마애여래삼존상,0,0,20,0,0,0,0,0,0,0,463
문의문화재단지,2,0,2,37,5,1,48,0,11,3,457
천마총,4,5,0,237,185,114,285,47,237,2,456
송산리고분군,9,4,2,238,64,41,285,25,98,15,454
부여 가림성,0,0,20,21,0,3,9,3,3,8,452
정릉,21,6,48,238,64,228,285,62,237,65,440
강화평화전망대,0,1,0,5,0,0,0,1,0,1,438
황순원문학촌 소나기마을,0,1,0,28,39,0,9,0,14,8,433
낙화암,5,3,20,240,43,41,285,18,66,24,420
청계사,1,0,0,123,0,0,9,1,3,8,407
강화초지진,0,0,20,60,20,2,119,2,17,7,405
관악산 낙성대공원,26,1,0,225,31,215,285,26,222,33,400
배론성지,1,0,5,0,8,0,9,0,3,0,398
화진포의 성(김일성별장),0,3,8,8,23,2,4,1,1,5,397
미리내 성지,0,0,5,5,2,0,7,1,5,0,397
뒤웅박고을,0,0,8,6,0,0,3,0,1,0,391
강진영랑생가,2,1,12,240,16,33,214,5,35,3,389
청량사,0,1,0,1,6,0,0,0,3,0,388
남양성모성지,1,0,20,240,5,25,285,5,82,1,388
청량사(봉화),0,0,1,0,0,0,0,0,0,0,388
도선사,2,2,0,48,4,3,47,2,26,4,382
구미 도리사,2,1,2,0,3,0,7,0,3,1,382
서울 약현성당,28,20,60,237,237,221,285,236,237,145,380
고성 왕곡마을,1,1,1,8,10,0,5,0,3,6,380
추사김정희선생고택,1,0,2,12,1,0,8,0,1,2,380
왕인박사유적지,0,3,0,17,20,0,17,4,4,3,379
미래사,1,1,20,10,27,0,14,1,4,1,379
은해사,0,1,20,6,5,0,18,0,3,0,379
경주 김유신묘,7,4,0,224,106,106,285,27,222,0,378
서상돈 고택,9,12,28,237,147,221,285,240,237,91,373
불로동 고분군,4,1,4,240,6,15,285,7,96,10,373
시인이상화고택,8,9,40,237,146,219,285,238,237,91,372
백련사,2,2,36,10,12,0,10,0,4,4,369
임고서원,0,0,0,17,2,0,14,0,3,1,368
구 보성여관,0,5,20,240,7,11,169,7,20,3,366
경주 계림,3,5,20,237,192,56,285,43,237,0,361
보광사,0,2,24,34,8,0,54,0,10,0,360
경주 감은사지,1,0,0,14,14,0,59,0,3,1,356
독립문,12,3,39,189,53,112,270,46,222,51,355
강천사,0,1,5,0,3,0,13,0,5,1,355
홍룡사,0,0,0,18,0,0,4,0,2,1,355
간월암,0,2,48,12,6,0,23,1,6,2,349
도마령,0,1,60,2,3,0,0,0,1,1,347
함안 무진정,3,0,1,18,1,0,23,3,4,1,341
우암사적공원,14,0,4,240,59,96,285,0,215,5,335
관덕정,2,13,20,237,237,220,285,80,237,8,332
경주 황룡사지,4,4,0,222,76,45,285,23,189,1,331
합덕성당,3,0,20,138,4,7,67,0,5,1,330
천왕사,0,3,6,0,2,0,0,0,0,0,329
봉원사,21,5,50,239,98,227,285,83,237,124,328
효석문화마을,2,3,1,69,32,6,79,0,17,5,328
아라리촌,2,0,0,220,14,22,186,0,36,5,319
옥산서원,0,2,0,3,3,0,13,19,2,1,318
칠장사,0,1,12,5,2,0,6,0,2,0,315
만해한용운심우장,11,9,47,237,116,194,285,68,237,48,314
반야사,0,1,0,1,3,0,4,0,1,3,314
장곡사,1,0,2,3,3,0,15,0,0,2,313
허균.허난설헌생가터,5,5,20,189,165,13,233,9,94,0,312
내원사,1,1,0,132,12,9,130,4,14,13,311
양산 내원사,0,1,1,0,0,0,0,1,0,5,311
경주 석굴암 ,0,1,19,10,8,0,0,1,2,0,309
남양주 광릉,1,3,20,24,4,0,24,1,19,7,307
월송정,0,1,20,15,10,0,12,1,3,2,305
돈암서원 ,1,23,20,43,5,0,24,240,3,1,300
정암사,2,1,9,1,2,0,0,0,1,0,300
연천 호로고루,1,1,0,6,0,0,6,0,1,0,299
구례 운조루 고택,1,0,2,14,20,0,14,0,5,0,299
나주 금성관,3,3,3,240,16,29,285,12,73,0,296
선진리성,1,0,2,6,3,0,24,0,3,1,295
정방사,0,0,0,3,27,0,3,0,1,1,294
통영 세병관,5,6,20,237,160,179,285,37,237,8,291
용천사,3,3,0,3,2,0,3,0,2,1,291
왕궁리유적 ,1,1,4,69,6,0,24,2,5,7,291
왕궁리유적,1,1,4,63,4,0,22,2,3,7,291
봉녕사,24,1,0,225,29,145,285,31,222,16,288
강화 고인돌 유적 ,0,0,0,21,6,1,18,0,2,2,288
무량사,0,0,9,17,5,6,24,0,5,3,288
정지용 생가,2,2,1,225,9,17,245,6,53,2,287
고운사,0,1,7,1,0,0,0,0,0,2,287
고모산성,0,2,5,8,14,0,10,0,3,1,286
기림사,0,1,4,3,3,0,5,0,1,0,285
알뜨르비행장,2,2,0,9,16,0,22,3,7,6,284
경주 오릉,1,0,6,174,101,14,180,0,151,3,283
대구 용연사,0,0,12,10,1,0,15,1,1,1,281
골굴사,0,1,0,6,3,0,9,0,2,1,275
개암사,0,1,1,1,1,0,7,2,0,1,269
감곡매괴성모순례지성당,1,0,20,240,9,35,241,2,57,4,268
보은 속리 정이품송,0,0,5,0,0,0,0,0,0,0,266
경주 무열왕릉,2,0,1,63,15,8,94,6,23,3,265
화산천주교회,0,0,0,39,0,1,19,2,1,7,263
청송 송소고택,0,0,0,10,8,0,2,0,1,1,262
부여 정림사지 오층석탑 ,6,0,20,240,43,42,285,0,66,20,261
와우정사,0,0,20,44,6,0,7,0,5,0,260
서귀포 김정희 유배지,0,0,0,14,11,0,14,0,5,2,259
성주사,1,1,0,22,0,0,8,2,4,1,257
의령 의붕사,0,0,0,0,0,0,0,0,0,0,256
가실성당,0,0,20,29,0,0,19,0,4,0,255
금둔사,0,2,1,2,14,0,7,0,1,3,251
국립 5.18 민주묘지,0,0,0,30,0,0,5,0,2,6,251
영월 법흥사,0,1,0,1,17,0,7,0,0,0,250
법흥사,0,1,0,1,16,0,7,0,0,0,250
강원감영,17,3,20,240,84,212,285,54,237,48,249
오산 독산성과 세마대지,3,0,21,218,1,6,110,7,27,0,249
작천정계곡,13,1,20,240,79,67,285,0,107,5,240
증심사,0,1,9,67,0,0,24,2,8,7,239
삼막사,0,1,11,17,3,6,37,3,17,4,237
담양 식영정,0,2,0,12,4,0,22,2,11,3,235
세종 비암사,0,0,0,0,0,0,0,0,0,0,235
용흥궁,8,3,0,240,18,36,285,11,87,0,233
논산명재고택,1,0,0,32,2,5,34,0,5,0,232
태릉,8,1,39,240,5,42,285,44,159,20,231
망양정,1,3,20,28,16,2,24,5,5,1,230
영국사,0,0,0,0,3,0,9,0,0,1,229
파주 임진각,0,5,3,12,3,0,16,1,7,3,228
산방굴사,1,5,0,21,91,3,98,3,44,5,227
철암탄광역사촌,0,1,20,44,2,4,24,8,3,0,227
한밤마을 돌담길,1,1,16,12,8,1,23,0,5,1,225
파주이이유적,0,0,20,147,7,10,78,3,16,0,222
함양 서암정사,0,1,0,8,39,0,8,0,3,5,221
망해암,21,0,0,225,83,204,285,44,222,25,221
경주 배동 삼릉,0,1,0,23,15,0,33,3,6,3,220
양화진외국인선교사묘원,21,5,0,222,218,213,285,115,222,49,218
파주 삼릉 ,2,0,20,174,5,3,34,0,5,1,217
당항포관광지,0,0,1,0,0,0,0,0,0,0,216
봉곡사,0,0,0,3,0,0,6,0,0,1,216
용소막성당,0,0,9,16,3,2,12,1,2,0,216
만해마을,0,1,0,12,33,0,32,0,3,3,214
개태사,0,1,6,39,8,0,19,0,2,0,214
광주공원,12,1,27,225,219,207,285,4,222,8,213
수어장대,1,1,20,22,2,3,87,2,18,10,212
창의문,19,8,21,237,75,100,285,32,237,40,210
수원박물관,21,7,0,222,7,132,285,66,222,11,206
중앙고등학교,16,2,39,224,222,208,285,221,222,95,204
강화 덕진진,0,0,20,28,15,0,59,0,14,6,204
금성산성,0,0,5,2,1,0,0,0,0,0,204
관룡사,0,0,0,1,3,0,11,2,0,1,204
목포근대역사관,15,6,4,238,193,109,285,20,194,3,200
환구단,28,37,60,237,237,222,285,237,237,170,196
최순우 옛집,18,13,0,222,119,208,285,79,222,61,196
농암종택,0,0,0,3,6,0,1,0,1,0,196
무각사,24,2,0,224,73,198,282,61,222,10,193
천학정,0,1,7,35,65,2,35,0,9,10,192
금정산성,1,0,20,44,2,2,115,3,8,2,192
도갑사,0,1,0,0,1,0,2,1,0,2,191
도솔암,0,1,0,0,0,0,0,0,1,0,191
갑곶돈대,2,0,8,114,10,5,85,2,18,2,191
옻골마을,0,1,1,78,3,0,16,2,3,0,190
김해 분산성,32,3,0,223,98,176,285,14,218,3,188
홍법사(부산),0,0,20,0,0,0,0,0,0,0,188
청룡사,0,1,0,2,3,0,16,0,3,3,187
김천청암사,0,1,20,2,10,0,8,1,1,1,183
박정희 대통령 생가,12,1,0,225,5,69,285,1,76,6,183
무주 안국사,0,2,0,0,0,0,2,0,4,2,181
신숭겸장군유적,0,0,0,0,0,0,0,0,0,0,179
건봉사,0,0,0,0,0,0,0,0,0,0,178
완도 청해진 유적,2,2,0,22,1,0,9,0,0,2,177
파계사,0,1,0,25,3,1,21,5,12,2,177
해미순교성지,0,0,20,0,0,0,0,0,0,0,177
양주 회암사지,1,0,5,99,3,0,30,3,7,0,176
예산 충의사,2,0,17,37,41,12,81,1,9,2,176
남양주 사릉,3,0,0,225,3,18,174,9,34,1,176
망월사,0,1,0,3,3,0,10,0,1,1,175
인천 개항 누리길,11,2,13,224,58,141,285,222,222,23,171
노적봉,18,5,20,238,201,123,285,17,196,3,170
정취암,1,0,3,7,3,0,3,0,1,0,169
보은 삼년산성,1,1,19,36,5,2,39,3,10,8,168
국청사,3,1,0,84,1,3,94,3,21,10,168
생초국제조각공원,3,0,18,35,3,3,32,1,5,1,168
대전사,0,3,1,12,16,1,33,1,3,3,167
부여 능산리 고분군 ,1,0,12,51,6,4,39,1,5,7,167
흥국사,0,1,17,10,0,0,9,1,1,2,165
흥국사,0,1,5,10,0,0,9,1,1,2,165
김포 덕포진,0,0,0,56,16,0,81,3,9,6,165
분오리돈대,0,1,20,10,76,1,24,1,16,2,163
한용운선생 생가지,0,0,7,0,0,0,0,0,0,0,163
육신사,0,0,0,14,0,0,1,0,0,2,161
김좌진장군생가지,2,0,20,48,1,8,42,0,7,2,161
경주 선덕여왕릉,0,1,2,39,22,0,9,3,3,1,159
문수암,0,0,13,2,3,1,6,0,1,0,158
대구제일교회,11,10,29,219,134,203,285,222,222,83,156
태안사,0,0,4,0,0,0,0,0,0,0,156
대방진굴항,3,3,20,240,41,55,285,2,45,3,153
창경궁 홍화문,23,31,48,222,222,212,285,222,222,138,152
보령 성주사지,0,0,5,16,21,2,31,0,3,2,151
성주 세종대왕자 태실,0,0,0,1,0,0,0,0,0,1,151
안동 군자마을,0,0,0,1,1,0,0,0,0,0,151
연천 숭의전지,0,0,0,10,14,0,7,0,1,2,151
괴시리 전통마을,0,1,0,167,12,15,123,0,30,2,150
광희문,36,11,6,222,222,208,285,222,222,164,149
환벽당,0,2,0,14,4,0,24,2,11,3,149
낙산사 의상대,0,1,6,47,137,4,101,1,14,5,149
여주 파사성,2,0,0,40,3,2,55,0,15,9,149
천주교배티성지,0,0,1,0,1,0,4,0,2,0,149
문헌서원,0,2,7,73,3,2,30,3,5,3,148
삼화사,0,1,0,9,3,0,22,3,3,3,148
보은 선병국가옥,0,0,11,9,2,1,7,0,0,2,148
봉화 닭실마을,2,3,6,172,5,11,131,3,17,5,147
옥천 육영수 생가,0,2,20,73,8,0,70,1,15,5,147
둔산선사유적지,18,3,0,222,27,209,285,70,222,14,146
대전 계족산성,0,1,2,22,2,0,1,2,0,0,146
비슬산 유가사,0,1,0,1,3,0,7,0,3,2,146
대구향교,8,10,0,222,134,206,270,222,222,93,143
흑성산성,1,1,2,14,3,0,10,0,8,2,142
필암서원 ,0,0,4,14,2,0,7,0,3,2,142
너리굴 문화마을,0,0,0,89,2,1,30,0,4,1,140
옥천사,0,1,0,6,5,0,10,0,0,0,139
무성서원 ,1,1,16,42,1,0,24,0,3,5,137
북촌 8경,23,0,25,240,237,225,285,0,237,132,137
서산 보원사지,0,0,0,2,12,0,16,0,3,1,137
인천 답동성당,16,2,0,224,120,210,285,222,222,26,136
화순 쌍봉사,0,1,1,2,0,0,0,0,0,0,134
화순적벽,0,0,0,3,0,0,3,0,1,2,134
예천 초간정,0,0,2,5,0,0,1,0,0,0,133
송림사,3,0,9,17,0,0,19,3,5,0,133
아산 맹씨 행단,0,0,4,86,0,4,29,0,5,3,132
심청한옥마을,1,6,0,6,12,0,1,49,3,3,131
하우현성당,1,0,20,102,0,0,51,3,14,4,131
의릉,22,1,56,240,65,226,285,49,237,79,129
요선정,0,0,17,6,21,0,6,0,1,0,129
칠불사,0,0,3,2,14,0,5,0,1,0,129
제3땅굴,0,2,1,3,0,0,0,0,1,0,128
예천 삼강주막,0,1,3,1,2,0,0,0,0,1,128
갈매못순교성지,0,0,20,46,14,3,43,0,3,1,128
달성하목정,0,0,2,53,2,0,33,0,2,2,128
고산 윤선도 유적지,0,0,0,0,0,0,0,0,0,0,128
금산 칠백의총,2,0,1,32,3,0,11,0,1,0,128
여주 고달사지,0,0,0,3,0,0,2,0,3,1,127
영휘원,19,0,24,240,119,222,285,70,237,91,127
군산항,0,0,18,32,0,0,7,0,1,0,123
순창고추장민속마을,0,1,2,41,3,0,18,0,3,3,122
사나사,0,1,0,3,23,0,15,1,5,1,122
등명낙가사,0,1,1,1,8,0,3,0,2,1,122
도라전망대,0,0,11,0,0,0,0,0,0,0,121
정암루,2,0,0,22,0,0,12,2,3,3,120
통영 삼도수군통제영,4,0,20,240,162,182,285,0,237,8,119
세검정 터,0,0,24,0,0,0,0,0,0,0,118
벽송사,0,1,1,6,33,0,6,0,3,5,117
문수산성,0,0,3,2,5,0,12,0,0,1,117
법륜사,1,2,20,62,5,2,38,0,14,0,116
법륜사,1,2,18,58,5,2,38,0,14,0,116
삼지내마을,0,0,0,66,9,1,40,1,12,2,116
죽주산성,1,0,5,77,7,8,61,3,9,0,116
김해 수로왕비릉,38,3,0,224,101,185,285,25,222,8,115
당포성,1,0,0,9,7,0,6,2,1,2,115
전구형왕릉,0,0,20,17,3,2,16,0,2,3,115
서울 구 러시아공사관,29,36,60,237,237,222,285,239,237,147,114
국립4.19민주묘지,19,2,10,240,89,229,285,30,237,31,113
무주 백련사,0,0,0,0,1,0,0,0,0,1,113
칠곡 가산산성 및 가산바위,0,0,14,0,0,0,0,0,0,0,113
외암민속마을,0,0,3,42,9,3,37,0,7,6,112
선비촌,0,0,7,1,12,0,14,2,3,1,111
축서사,0,0,0,1,1,0,0,0,0,0,111
교동향교,1,9,0,222,3,209,32,83,9,22,110
캠프 그리브스,0,5,21,14,3,0,7,1,5,5,110
고령 지산동 고분군,1,3,0,50,1,1,20,8,7,2,110
국립임실호국원,0,0,2,3,0,0,1,0,0,1,109
천안 유관순 열사 유적,1,0,2,110,3,10,112,0,17,4,108
이중섭 거주지,9,3,0,223,137,198,285,18,218,27,107
서생포왜성,1,2,13,33,59,8,98,2,11,3,106
별방진,0,1,0,7,74,1,9,1,15,3,106
옥룡사지,1,2,4,8,14,0,13,23,1,8,105
군위 아미타여래삼존 석굴,0,0,20,12,8,0,34,0,5,1,104
수리사,2,0,23,170,1,0,32,5,16,4,104
경주민속공예촌,0,1,1,33,63,1,42,0,14,1,103
악양루,1,0,0,9,0,0,4,0,2,0,103
자재암,2,1,0,1,2,0,19,2,0,1,102
정읍 피향정,0,0,2,53,1,2,31,0,5,2,102
명성황후 생가,1,0,0,129,2,2,95,1,8,3,102
이장우가옥,11,3,24,225,161,208,285,136,222,14,101
충주 미륵대원지,0,0,5,3,12,0,4,0,0,0,101
진도 남도진성,0,0,0,1,2,0,0,0,0,1,100
충주 탑평리 칠층석탑,1,0,18,26,7,0,31,0,5,1,100
영주 희방사,0,2,0,0,3,0,5,2,0,2,99
심곡서원,28,0,3,240,3,59,285,7,237,1,98
화순고인돌유적 ,0,0,0,21,3,0,10,1,3,2,98
은수사,0,3,0,14,11,0,24,1,6,6,97
남원 만인의총,1,2,0,224,50,53,270,9,120,10,97
홍예문,17,2,24,224,89,171,285,222,222,28,97
미타사,4,1,0,233,48,83,288,7,120,9,97
